Well.Location,Plate,Species,Group.Type,Sample.Name
E08,PLATE2,,,E08
E09,PLATE2,,,E08
E10,PLATE2,,,E09
E11,PLATE2,,,E09
E12,PLATE2,,,E09
F01,PLATE2,,,E10
F02,PLATE2,,,E10
F03,PLATE2,,,E10
F04,PLATE2,,,F01
F05,PLATE2,,,F01
F06,PLATE2,,,F01
F07,PLATE2,,,F02
F08,PLATE2,,,F02
F09,PLATE2,,,F02
F10,PLATE2,,,F03
F11,PLATE2,,,F03
F12,PLATE2,,,F03
G01,PLATE2,,,F04
G02,PLATE2,,,F04
G03,PLATE2,,,F04
G04,PLATE2,,,F05
G05,PLATE2,,,F05
G06,PLATE2,,,F05
G07,PLATE2,,,F06
G08,PLATE2,,,F06
G09,PLATE2,,,F06
G10,PLATE2,,,F07
G11,PLATE2,,,F07
G12,PLATE2,,,F07
H01,PLATE2,,,F08
H02,PLATE2,,,F08
H03,PLATE2,,,F08
H04,PLATE2,,,F09
H05,PLATE2,,,F09
H06,PLATE2,,,F09
H07,PLATE2,,,F10
H08,PLATE2,,,F10
H09,PLATE2,,,F10
A01,PLATE3,,,Blank_Plate3
A02,PLATE3,,,Blank_Plate3
A03,PLATE3,,,Blank_Plate3
A04,PLATE3,,,G01
A05,PLATE3,,,G01
A06,PLATE3,,,G01
A07,PLATE3,,,G02
A08,PLATE3,,,G02
A09,PLATE3,,,G02
A10,PLATE3,,,G03
A11,PLATE3,,,G03
A12,PLATE3,,,G03
B01,PLATE3,,,G04
B02,PLATE3,,,G04
B03,PLATE3,,,G04
B04,PLATE3,,,G05
B05,PLATE3,,,G05
B06,PLATE3,,,G05
B07,PLATE3,,,G06
B08,PLATE3,,,G06
B09,PLATE3,,,G06
B10,PLATE3,,,G07
B11,PLATE3,,,G07
B12,PLATE3,,,G07
C01,PLATE3,,,G08
C02,PLATE3,,,G08
C03,PLATE3,,,G08
C04,PLATE3,,,G09
C05,PLATE3,,,G09
C06,PLATE3,,,G09
C07,PLATE3,,,G10
C08,PLATE3,,,G10
C09,PLATE3,,,G10
C10,PLATE3,,,H01
C11,PLATE3,,,H01
C12,PLATE3,,,H01
D01,PLATE3,,,H02
D02,PLATE3,,,H02
D03,PLATE3,,,H02
D04,PLATE3,,,H03
D05,PLATE3,,,H03
D06,PLATE3,,,H03
D07,PLATE3,,,H04
D08,PLATE3,,,H04
D09,PLATE3,,,H04
D10,PLATE3,,,H05
D11,PLATE3,,,H05
D12,PLATE3,,,H05
E01,PLATE3,,,H06
E02,PLATE3,,,H06
E03,PLATE3,,,H06
E04,PLATE3,,,H07
E05,PLATE3,,,H07
E06,PLATE3,,,H07
E07,PLATE3,,,H08
E08,PLATE3,,,H08
E09,PLATE3,,,H08
E10,PLATE3,,,H09
E11,PLATE3,,,H09
E12,PLATE3,,,H09
F01,PLATE3,,,H10
F02,PLATE3,,,H10
F03,PLATE3,,,H10
F04,PLATE3,,,I01
F05,PLATE3,,,I01
F06,PLATE3,,,I01
F07,PLATE3,,,I02
F08,PLATE3,,,I02
F09,PLATE3,,,I02
F10,PLATE3,,,I03
F11,PLATE3,,,I03
F12,PLATE3,,,I03
G01,PLATE3,,,I04
G02,PLATE3,,,I04
G03,PLATE3,,,I04
G04,PLATE3,,,I05
G05,PLATE3,,,I05
G06,PLATE3,,,I05
G07,PLATE3,,,I06
G08,PLATE3,,,I06
G09,PLATE3,,,I06
G10,PLATE3,,,I07
G11,PLATE3,,,I07
G12,PLATE3,,,I07
H01,PLATE3,,,I08
H02,PLATE3,,,I08
H03,PLATE3,,,I08
H04,PLATE3,,,I09
H05,PLATE3,,,I09
H06,PLATE3,,,I09
H07,PLATE3,,,I10
H08,PLATE3,,,I10
H09,PLATE3,,,I10
A01,PLATE4,,,Blank_Plate4
A02,PLATE4,,,Blank_Plate4
A03,PLATE4,,,Blank_Plate4
A04,PLATE4,,,J01
A05,PLATE4,,,J01
A06,PLATE4,,,J01
A07,PLATE4,,,J02
A08,PLATE4,,,J02
A09,PLATE4,,,J02
A10,PLATE4,,,J03
A11,PLATE4,,,J03
A12,PLATE4,,,J03
B01,PLATE4,,,J04
B02,PLATE4,,,J04
B03,PLATE4,,,J04
B04,PLATE4,,,J05
B05,PLATE4,,,J05
B06,PLATE4,,,J05
B07,PLATE4,,,J06
B08,PLATE4,,,J06
B09,PLATE4,,,J06
B10,PLATE4,,,J07
B11,PLATE4,,,J07
B12,PLATE4,,,J07
C01,PLATE4,,,J08
C02,PLATE4,,,J08
C03,PLATE4,,,J08
C04,PLATE4,,,J09
C05,PLATE4,,,J09
C06,PLATE4,,,J09
C07,PLATE4,,,J10
C08,PLATE4,,,J10
C09,PLATE4,,,J10
C10,PLATE4,,,B08
C11,PLATE4,,,B08
C12,PLATE4,,,B08
